"Number","User","Date Submitted","Country","Source URL","Device","Browser","OS","Hotjar User ID","Response URL","Thank you for your purchase today! 

If you could say one thing which nearly stopped you from purchasing today, what was this? (Don't worry, you won't offend us)","Where did you first hear about us?","session_id","variationIds","Tags for: Thank you for your purchase today! 

If you could say one thing which nearly stopped you from purchasing today, what was this? (Don't worry, you won't offend us)","Tags for: Where did you first hear about us?","Sentiment for: Thank you for your purchase today! 

If you could say one thing which nearly stopped you from purchasing today, what was this? (Don't worry, you won't offend us)"
"18043","31edf525","2025-05-06 15:30:59","United Kingdom","https://absolutereg.co.uk/checkout/finance/success/527819?token=0feb5a07-04e7-4743-9c42-9511b8a860f6&status=success&signature=d41c4b0d20ca12438760013cbd10d09aead51232b5944cde09821c818b1e82e4","desktop","Chrome 135.0.0","Windows 10","31edf525-dc00-56e4-bca9-e849948ea7ef","https://insights.hotjar.com/sites/284824/surveys/responses/878809?prid=892526875","price","","b78498af-846a-45e1-b9a7-ece18d6e5d97","","","",""
"18042","a51fb682","2025-05-06 13:18:23","United Kingdom","https://absolutereg.co.uk/checkout/paypal/return/527816","desktop","Edge 135.0.0","Windows 10","a51fb682-5d1c-56ab-9658-47f1ff5b3112","https://insights.hotjar.com/sites/284824/surveys/responses/878809?prid=892496884","Cheaper on the DVLA website but you have a lot more payment options!","","92e20fc9-32a6-49a3-84dd-4df911730031","","","",""
"18041","d6a42e7c","2025-05-06 12:54:54","United Kingdom","https://absolutereg.co.uk/checkout/finance/success/527802","phone","Chrome Mobile 136.0.0","Android 10","d6a42e7c-b821-56b3-ad03-3fba0f569fb1","https://insights.hotjar.com/sites/284824/surveys/responses/878809?prid=892491647","Nothing it was very easy","","d4b9de66-686a-47b3-9a55-15701b22df11","","","",""
"18040","e217446c","2025-05-06 12:31:25","United Kingdom","https://absolutereg.co.uk/checkout/paypal/return/527798","phone","Mobile Safari 18.4","iOS 18.4.1","e217446c-98ae-546c-b15c-f0a4e4e52645","https://insights.hotjar.com/sites/284824/surveys/responses/878809?prid=892486703","Could unelected an option","","f6f493b4-fc98-4b4a-84dd-2ac3df2a0192","","","",""
"18039","f141f044","2025-05-06 11:00:50","United Kingdom","https://absolutereg.co.uk/stripe/success?payment_intent=pi_3RLjAcEaztidwX1v0HTnYqaL&payment_intent_client_secret=pi_3RLjAcEaztidwX1v0HTnYqaL_secret_XPg6gdz7iMcqc6g7sUV7kXI13&redirect_status=succeeded","phone","Chrome Mobile 135.0.0","Android 10","f141f044-2066-5e99-ace6-d114a61e56ec","https://insights.hotjar.com/sites/284824/surveys/responses/878809?prid=892470141","Additional extras","","6e16cfc1-6688-43d0-8a6f-f306c543c0f9","","","",""
"18038","d7ee007d","2025-05-06 10:56:34","United Kingdom","https://absolutereg.co.uk/checkout/finance/success/527762?token=4cae2610-9e98-4433-a6f9-3145830315b9&status=success&signature=84df6ce566f37a21206f347b3280e47f8854c05bfa9890d0e6b48f926617fc14","phone","Mobile Safari 18.4","iOS 18.4.1","d7ee007d-c8f4-50be-bb9f-479fe773acba","https://insights.hotjar.com/sites/284824/surveys/responses/878809?prid=892469433","I wasn’t sure cos that’s birthday present but yes I’ve done it","","9f6c9cb9-0168-4732-b90f-ce1573d1bd94","","","",""
"18037","398c1218","2025-05-06 09:50:06","United Kingdom","https://absolutereg.co.uk/stripe/success?payment_intent=pi_3RLi5ZEaztidwX1v1p7BBqgy&payment_intent_client_secret=pi_3RLi5ZEaztidwX1v1p7BBqgy_secret_xtQWtEdfhk8uLUMMElNQgXsqU&redirect_status=succeeded","phone","Mobile Safari 18.4","iOS 18.4.1","398c1218-e88c-58da-bc3f-c53f7162da86","https://insights.hotjar.com/sites/284824/surveys/responses/878809?prid=892459036","Website easy to use","","a3b2fe15-f780-4afd-8485-26afce0609ec","","","",""
"18036","705ec7ac","2025-05-06 09:35:07","United Kingdom","https://absolutereg.co.uk/stripe/success?payment_intent=pi_3RLhqiEaztidwX1v0YFQBe6F&payment_intent_client_secret=pi_3RLhqiEaztidwX1v0YFQBe6F_secret_QB9oNpurnjEqlNnkGtf2HLHq0&redirect_status=succeeded","phone","Chrome Mobile iOS 136.0.7103","iOS 18.3.1","705ec7ac-6a1a-5aba-a406-57b70fc7213d","https://insights.hotjar.com/sites/284824/surveys/responses/878809?prid=892456677","The internet in Cheshire west is crap !!!😂😂😂😂😂👍","","0956c8f8-eb0d-4614-ae0b-b880e392fa6e","","","",""
"18035","170ec89c","2025-05-06 09:08:01","United Kingdom","https://absolutereg.co.uk/stripe/success?payment_intent=pi_3RLhSeEaztidwX1v0xAtrlFB&payment_intent_client_secret=pi_3RLhSeEaztidwX1v0xAtrlFB_secret_SCHSK2aOzgiXzQnWpHCNQBZ7h&redirect_status=succeeded","phone","Mobile Safari 17.2","iOS 17.2.1","170ec89c-54bc-5f53-9e42-204e990da681","https://insights.hotjar.com/sites/284824/surveys/responses/878809?prid=892452418","I wasn't sure what I was doing , as iv never brought plates before . Really hope I did this correct","","24b980da-3c24-492b-9e58-ea8d4b663897","","","",""
"18034","c42ba05c","2025-05-06 06:58:39","United Kingdom","https://absolutereg.co.uk/stripe/success?payment_intent=pi_3RLfR7EaztidwX1v1Qi0FDgG&payment_intent_client_secret=pi_3RLfR7EaztidwX1v1Qi0FDgG_secret_ZtcSqZMU2dNvDOay2Y1Z9AM2e&redirect_status=succeeded","phone","Mobile Safari 18.4","iOS 18.4.1","c42ba05c-5512-5ee9-b317-221e2e1b1b40","https://insights.hotjar.com/sites/284824/surveys/responses/878809?prid=892435154","Price","","e8ad9206-84fd-408a-948b-4eb1effeec55","","","",""
"18033","794590ac","2025-05-05 21:48:38","United Kingdom","https://absolutereg.co.uk/checkout/finance/success/527671?token=3600f07d-1326-4831-ac2c-34da96a9cfb3&status=success&signature=e6efcc00d1e58e1b5e444a13d252eba4e3779326b87d86628ec06088c4cd258c","phone","Samsung Internet 27.0","Android 10","794590ac-cfeb-5cd7-b2cf-9c614c26d503","https://insights.hotjar.com/sites/284824/surveys/responses/878809?prid=892388914","Nothing","","388c58be-e48b-47f1-a699-3fe1df10c8b7","","","",""
"18032","4602704e","2025-05-05 19:46:06","United Kingdom","https://absolutereg.co.uk/stripe/success?payment_intent=pi_3RLUrcEaztidwX1v0v7eX3fh&payment_intent_client_secret=pi_3RLUrcEaztidwX1v0v7eX3fh_secret_yqm6AUdOSs5Ps5a4sF50nLjHl&redirect_status=succeeded","phone","Mobile Safari 18.4","iOS 18.4.1","4602704e-3d86-5f37-a485-6c546c540df6","https://insights.hotjar.com/sites/284824/surveys/responses/878809?prid=892369770","Everything when really well thanks this is the third time I have used you","","3dc6ad19-bb03-47f9-a7d7-bfd48bc910e6","","","",""
"18031","4cc5a6f1","2025-05-05 19:29:03","United Kingdom","https://absolutereg.co.uk/checkout/finance/success/527619?token=d705e6da-bd0b-49df-852e-c49058f44e93&status=success&signature=e90b2f54f11b188ecc403aacd229878b7adbd854a60304663b98bcccb0184ccc","phone","Chrome Mobile 135.0.0","Android 10","4cc5a6f1-a247-539e-bb0a-35a6b20c635d","https://insights.hotjar.com/sites/284824/surveys/responses/878809?prid=892366452","The price of the new plates, but I decided to purchase my own","","8d8edd39-854f-4e24-bfd7-8dcada850e54","","","",""
"18030","08c53b2f","2025-05-05 13:52:25","United Kingdom","https://absolutereg.co.uk/stripe/success?payment_intent=pi_3RLPOUEaztidwX1v00MQIyBg&payment_intent_client_secret=pi_3RLPOUEaztidwX1v00MQIyBg_secret_0xqkyq3QLMrZGrO0yi1p1AThH&redirect_status=succeeded","desktop","Edge 136.0.0","Windows 10","08c53b2f-3b48-56fe-816d-22d42aa6dfcd","https://insights.hotjar.com/sites/284824/surveys/responses/878809?prid=892297774","nothing , thanks","","2799966f-dcb7-45be-9a5d-0ff3e792a48b","","","",""
"18029","66989828","2025-05-05 13:47:17","United Kingdom","https://absolutereg.co.uk/checkout/finance/success/527472?token=e05b2d1d-1a35-44e7-a9ee-1b2fd26512db&status=success&signature=d1c47293a05a68e6dec8777aabf4316fac2ac66d84de7708d163ecd1b03ad111","phone","Chrome Mobile 136.0.0","Android 10","66989828-61dc-5c2e-be19-7a72d1eb064b","https://insights.hotjar.com/sites/284824/surveys/responses/878809?prid=892296628","Sorting out the payments","","93e56130-96c8-4470-bd04-a5b46cdc575b","","","",""
"18028","7acd075a","2025-05-05 12:57:33","United Kingdom","https://absolutereg.co.uk/stripe/success?payment_intent=pi_3RLOYNEaztidwX1v07N5sX1r&payment_intent_client_secret=pi_3RLOYNEaztidwX1v07N5sX1r_secret_KjyCSxCYlw6vVMZGRHUa3QPFm&redirect_status=succeeded","phone","Mobile Safari 18.4","iOS 18.4.1","7acd075a-cd6d-5d3a-b223-3637bff7daca","https://insights.hotjar.com/sites/284824/surveys/responses/878809?prid=892286032","the price","","7c85be8f-4e22-4c8e-9efa-c10b61e7e185","","","",""
"18027","c628a342","2025-05-05 12:00:12","United Kingdom","https://absolutereg.co.uk/checkout/finance/success/527441","phone","Mobile Safari 18.4","iOS 18.4.1","c628a342-a716-52d2-b5d0-6a635187fcb3","https://insights.hotjar.com/sites/284824/surveys/responses/878809?prid=892274678","Nothing","","2b9e3231-3399-4f0a-9e8e-461be8d05a50","","","",""
